time,x,y,z,dx,dy,dz
0,1,1,1,1.25671658047974,25.9918010786561,-1.51087625563658
0.01,1.0125671658048,1.25991801078656,0.984891237443634,2.44116000391681,26.1999488268653,-1.34426216771591
0.02,1.04882320007834,1.52399897653731,0.973114756645682,4.73197635656365,26.9198032660719,-0.986596017778019
0.03,1.10720669293607,1.798314076108,0.965159317088074,6.90212450163357,28.2273219271402,-0.568854680043274
0.04,1.18686569011101,2.08854541508011,0.961737663044816,9.01740308229778,30.0923411141617,-0.0676275934615278
0.05,1.28755475458203,2.40016089839123,0.963806765218843,11.1351774978116,32.5003336370571,0.543571794369346
0.06,1.40956924006724,2.73855208782125,0.972609098932203,13.306745916669,35.4499617735457,1.29626683992304
0.07,1.55368967291541,3.10916013386215,0.989732102017304,15.5788598327675,38.9512218166631,2.22893587951428
0.08,1.72114643672259,3.51757652415452,1.01718781652249,17.9953668811246,43.0231325785808,3.38907075881322
0.09,1.9135970105379,3.96962278543376,1.05751351719357,20.5980838414167,47.6921376348292,4.835660704457
0.1,2.13310811355092,4.4714192768511,1.11390103061163,23.4275803765991,52.9900874265183,6.64214339958365
0.11,2.38214861806988,5.02942453396413,1.19035638518524,26.5237992106786,58.9514597495023,8.89978870031986
0.12,2.6635840977645,5.65044847184114,1.29189680461803,29.9261471412145,65.6101241275556,11.7217271232621
0.13,2.98067156089417,6.34162701651524,1.42479092765048,33.6733026460031,72.9947982334023,15.2475396083517
0.14,3.33705015068456,7.11034443650919,1.59684759678506,37.8025004068333,81.122690803726,19.6484762562937
0.15,3.73672156903084,7.96408083258976,1.81776045277636,42.3481597006049,89.990711406893,25.1329723566865
0.16,4.18401334469665,8.91015866464705,2.09950704391879,47.3396844542675,99.5636064289071,31.9518467832105
0.17,4.68351525811619,9.9553529611679,2.45679738844057,52.7981341162207,109.757596520094,40.4026826420698
0.18,5.23997602702107,11.1053105950489,2.90756069676018,58.7313841086815,120.418462737889,50.8318448306967
0.19,5.85814294028982,12.3637222159257,3.4734342850545,65.1273582226459,131.293301646437,63.6316553751308
0.2,6.54252319147399,13.7311766279777,4.1801938042628,71.9448832864365,141.995017148915,79.2293936149782
0.21,7.29704060601855,15.203622558904,5.05802215735407,79.1016870595599,151.959929106373,98.0631371852437
0.22,8.12455693266518,16.7703752101051,6.14145654796768,86.459256173922,160.40097192456,120.537813940801
0.23,9.02622572949699,18.4116419973952,7.46877843617008,93.8046998917569,166.262552114862,146.953499250252
0.24,10.0006509305003,20.0956262524024,9.0805265329727,100.830572555157,168.188954677471,177.397963540978
0.25,11.0428371806001,21.7754210909446,11.0167377069896,107.115031082168,164.526144011998,211.598469528209
0.26,12.1429515521437,23.3861491326423,13.3124959235369,112.106804577419,153.385958724563,248.736414047174
0.27,13.2849732721485,24.8431402654359,15.9914659879331,115.122159821031,132.808711747701,287.245439371549
0.28,14.4453947485643,26.0423233675964,19.0574047109679,115.363809538507,101.058318663661,324.640439870134
0.29,15.5922494629186,26.8643066387091,22.4842747853358,111.972779271209,57.0626732591964,357.455589469853
0.3,16.6848503339885,27.1835768327803,26.2065165003649,104.124807548549,0.967139511434744,381.40866406658
0.31,17.6747456138896,26.8836494289378,30.1124480666674,91.1691487102076,-65.3269306319165,391.87156909422
0.32,18.5082333081926,25.8770382201419,34.0439478822493,72.7971401141337,-137.82849896449,384.69082796476
0.33,19.1306884161723,24.127079449648,37.8062646259626,49.2086191518074,-210.569923864877,357.253401319571
0.34,19.4924056912288,21.6656397428444,41.1890159086407,21.2203606737672,-276.348808833484,309.491339416885
0.35,19.5550956296476,18.6001032729783,43.9960914143003,-9.73475769392051,-328.038658769077,244.4368678193
0.36,19.2977105373504,15.1048665674629,46.0777532650267,-41.7486973083016,-360.145403139618,167.986391023389
0.37,18.7201216834816,11.3971952101859,47.3558192347681,-72.7055410494914,-370.071317362584,87.8102631775987
0.38,17.8435997163605,7.70344022021119,47.8339585285787,-100.607440502212,-358.611586834317,11.7405365688793
0.39,16.7079728734374,4.22496347349957,47.5906299661457,-123.871733538762,-329.520579237521,-53.8099596358961
0.4,15.3661650455853,1.11302863546076,46.7577593358608,-141.522323090109,-288.363330471956,-104.882463831268
0.41,13.8775264116352,-1.54230313593956,45.4929806895203,-153.236906823535,-241.134735097778,-140.208662413716
0.42,12.3014269091146,-3.70966606649479,43.9535860875865,-159.267050998484,-193.115791287028,-160.766945970218
0.43,10.6921853916655,-5.40461896168011,42.2776417701159,-160.279866773224,-148.217423312475,-168.976679931219
0.44,9.09582957365013,-6.67401453274429,40.5740524889621,-157.176716674538,-108.822051049078,-167.861607730727
0.45,7.54865105817474,-7.58105998266167,38.9204096155014,-150.9329321701,-75.9764352429679,-160.40282250397
0.46,6.07717093024812,-8.19354323760365,37.3659960388827,-142.480205444461,-49.7479804689987,-149.15193278044
0.47,4.69904694928551,-8.57601959204164,35.9373709598926,-132.635746168617,-29.5975651131125,-136.075482009772
0.48,3.42445600687579,-8.7854945398659,34.6444863986872,-122.07113959852,-14.6847534640755,-122.558229385452
0.49,2.25762415731512,-8.86971466132315,33.4862063721836,-111.30856777537,-4.08295970760601,-109.489116295546
0.5,1.19828465136839,-8.86715373401802,32.4547040727763,-100.733696751989,3.09230010576424,-97.3757606259635
0.51,0.242950222275351,-8.80786865920787,31.5386911596643,-90.6161370130489,7.61911166285145,-86.4550666106493
0.52,-0.614038088892587,-8.71477150076099,30.7256027405633,-81.1319886559686,10.1456789848543,-76.7859107077405
0.53,-1.37968955084402,-8.60495507951078,30.0029729455095,-72.385155845863,11.1931051293223,-68.3188017822015
