rankle_x,drankle_x,ddrankle_x,rknee_x,drknee_x,ddrknee_x,rhip_x,drhip_x,ddrhip_x,lankle_x,dlankle_x,ddlankle_x,lknee_x,dlknee_x,ddlknee_x,lhip_x,dlhip_x,ddlhip_x,bshoulder_x,dbshoulder_x,ddbshoulder_x,rankle_y,drankle_y,ddrankle_y,rhip_y,drhip_y,ddrhip_y,lankle_y,dlankle_y,ddlankle_y,lhip_y,dlhip_y,ddlhip_y,bshoulder_y,dbshoulder_y,ddbshoulder_y,rankle_z,drankle_z,ddrankle_z,rhip_z,drhip_z,ddrhip_z,lankle_z,dlankle_z,ddlankle_z,lhip_z,dlhip_z,ddlhip_z,bshoulder_z,dbshoulder_z,ddbshoulder_z,rankle_force,drankle_force,ddrankle_force,rknee_force,drknee_force,ddrknee_force,rhip_force,drhip_force,ddrhip_force,lankle_force,dlankle_force,ddlankle_force,lknee_force,dlknee_force,ddlknee_force,lhip_force,dlhip_force,ddlhip_force,bshoulder_force,dbshoulder_force,ddbshoulder_force
62.5171068459235,372.020351399778,8480.51402275411,46.6573419957551,255.601348529794,7442.07207286255,22.333425107352,-65.8085072076124,-4287.3408026585,75.2956715698018,1.31007977665569,15849.9538447796,70.5403615153808,-181.22303690868,-14637.5197535163,-99.608291156014,-41.6100181834462,21025.5355733094,35.6876463190109,-473.929574465403,-4000.94879042148,18.0156063597661,-1157.03305425253,7240.75482854087,10.1312360580103,-378.973632143874,5193.00095818377,1.70291337701765,33.6500521080978,-5745.51992406677,-1.60692768137881,-589.958993271513,6634.80786738091,78.9043979476089,-88.4916393546432,3192.26580388405,39.6293069956942,-299.062996951797,-3223.90099588598,5.04554261080351,360.154764982759,976.471476943737,9.41960502804319,33.198335426296,-2374.73565940247,-3.05841756010215,15.3095280939325,-3066.53401387896,104.126486517749,1356.81314126322,-11228.0122827257,15.5741615589131,-1933.02988468029,171439.247222254,59.9735200331299,-3805.74594065515,128980.900542003,174.410855426483,-5269.09505863577,-13524.2256998542,109.454434615387,1570.70336494534,134010.343108417,277.894295842519,2766.59520666492,130135.542514577,473.06833366931,-6320.36594547215,-888059.217909198,138.245323226835,1909.30070294827,-164522.950567636
63.1276137876194,382.711194493126,6499.42315770225,47.0773402425216,266.661029216003,7657.20451759167,22.2224058349026,-72.5228823663141,-4478.65820633858,75.3187470279953,25.8807198291401,14585.9383613228,70.2286455965968,-202.812515348028,-13076.8894168304,-99.6471790218796,-8.94362678640304,19437.0087301268,34.9220723325026,-479.74885315975,-5565.26523610749,16.1621457933236,-1139.23188469095,9946.53294997553,9.52828878439752,-369.172578136122,5337.52136959902,1.74959928471101,24.3020138079661,-5681.56355557263,-2.54598595268891,-578.028766446894,5498.66599938998,78.7653099767675,-82.6212513459311,3892.24893923897,39.1426753346104,-301.900361078071,-1358.19769734052,5.624936035973,361.180702375638,1966.37236992622,9.47097674012282,28.5020410950187,-3198.48644746703,-3.03718378537759,9.2789994489052,-4300.68533313771,106.290958495108,1336.07391504935,-8479.34355927746,12.5914652646078,-1602.60026068071,214965.052906246,54.0099874930209,-3574.48349500757,142083.710446926,165.908699952527,-5253.27307808097,8317.05053589848,112.165512924257,1766.84097258586,115455.043013904,282.552020791398,2927.83743428541,74613.793563194,461.595196474541,-7552.26666278611,-683058.850032339,141.087402209901,1639.55679411539,-154871.578876389
63.7553125337476,391.736891625294,4882.4177595814,47.5170417265998,279.232090986735,8252.78403189704,22.0998917893939,-79.9211052501838,-4878.49274983749,75.3796945327473,48.3750695521804,13258.9906332322,69.8825796312785,-222.743881362742,-11775.3982276001,-99.6357912372691,21.0889946103591,17837.0478665271,34.1419388073355,-490.10702643582,-7698.05667881498,14.3325695226412,-1121.51105809157,11832.7556418708,8.93854754581003,-360.62423158865,5121.19261520251,1.78150310815545,15.2027094480904,-5567.93279627831,-3.47125023277665,-570.250967038411,3885.74654441549,78.6357360498269,-75.8553043539,4660.2866223551,38.6515939758691,-302.749307696738,445.600256897925,6.20966043039336,365.241273960309,3237.53128291179,9.51410800984936,22.7211749187096,-3848.56516949563,-3.02758925198315,1.30274964376801,-5550.51482177336,108.434742758827,1325.03910456497,-4626.7550065048,10.2551267253431,-1209.7446458131,236286.36511545,48.4120030888177,-3336.06030666256,152582.725867835,157.428671391724,-5223.50587800778,25469.248633125,115.180828801561,1938.99451168244,98165.2197055509,287.416646368556,3004.45376169739,18619.8140145976,448.361482213643,-8489.7307408613,-502885.719092657,143.511534826159,1397.16965115203,-137851.539845274
64.3932968747054,399.578622039176,2816.75102042037,47.9759662332275,293.844865481346,8641.92408235776,21.965413930273,-88.368791277651,-5328.82670952947,75.4748324754774,68.9282423412296,11848.215306775,69.5073231887613,-241.315750771058,-10207.659788703,-99.5784449030631,48.6098651307998,16200.6605318357,33.3453244541216,-505.68271098439,-9348.26708869453,12.5396878158481,-1104.55820398712,15331.4361572766,8.36402602993847,-353.723733408449,5316.98252371394,1.79880621600368,6.35789192906558,-5450.3075365744,-4.38279974801188,-567.00092718164,3044.5276222425,78.518264064141,-67.9775114981589,5682.82459215788,38.1628403833972,-301.648511712665,2803.48535185226,6.80035314878418,372.557732294181,3986.46136770065,9.546998677596,16.0109535699094,-4421.94178193141,-3.03275412501971,-8.60318604489127,-6774.48783819073,110.558347505897,1324.78542731151,-2495.20772310741,8.67289000772075,-806.775167705527,236158.806345555,43.2295136661411,-3092.88213642498,166932.369611855,149.051008376408,-5185.4593410817,48631.0873185731,118.442094907264,2090.50670077098,78587.4474823205,292.319305200946,3002.25834530902,-40159.0736395382,433.911230905084,-9180.25425963867,-334711.475407954,145.554269702501,1192.7876871324,-116355.001717862
65.0345700811206,403.055066226348,-393.115496765875,48.4537566100364,308.335383273239,8181.0726545351,21.818268181572,-97.417759221605,-5600.75368800811,75.6000677029109,86.8719261759681,10125.2901995625,69.1083056798874,-256.731479521111,-7816.63952782918,-99.4799534198638,73.1884302166668,14244.8629968771,32.5301884841258,-522.619851780019,-9473.05875115474,10.7965622653101,-1079.09426783508,22144.0861046677,7.80653117702249,-345.731568463086,6462.94376831666,1.80191186426172,-2.25972283240577,-5277.39833672961,-5.28069054585477,-563.572544583629,3961.57196551178,78.4157373057051,-58.2242619387129,6990.67556028009,37.6836174399186,-295.865502770754,6145.72532268314,7.39746001880429,379.987311678837,3474.88184505286,9.56807273516167,8.52780879932808,-4892.41778032799,-3.05542955352274,-20.5081895727076,-7849.2317234219,112.662154850571,1324.43345121217,-4408.19202238783,7.72388722918473,-446.793201823397,222138.331021411,38.507526940072,-2819.55538447671,187488.413521823,140.852181107562,-5096.44636808001,86137.7980673367,121.888185028989,2204.8097568433,52607.1565155373,297.094477911421,2898.56707471907,-102857.538219661,418.740553939435,-9595.10436877496,-164611.440603168,147.271631768722,1025.12940951165,-91625.4166156902
65.6722276449051,399.451558073607,-4371.32316802944,48.9501871244435,320.634319582468,7000.58039750515,21.657640910378,-106.481820765966,-5628.50403643173,75.7509434484225,101.515041556956,8020.84568447802,68.6911144647299,-266.983615785511,-4697.12671041394,-99.3454748182187,94.1413066723936,11862.8594354391,31.6944858391371,-537.251035585128,-8338.61790808349,9.11622120978386,-1037.45776750079,31003.7218788723,7.26773401773149,-334.281472922367,8232.15264119696,1.79144904371554,-10.5176512024613,-4964.70517300348,-6.16490181303099,-555.948368718857,6070.11289407293,78.3311696706911,-46.0210918466328,8402.52550052391,37.2214203184074,-283.183504677415,10109.772825978,8.00114253260037,384.691443943684,2000.90547757202,9.57615989451851,0.359006685191456,-5190.26409756963,-3.09801134142978,-33.9240723380909,-8569.90463351069,114.746454669552,1314.58694240145,-9181.43268929088,7.28525977670061,-109.987037577251,196721.66121714,34.284324948537,-2501.97340915785,207830.195977406,132.904387736465,-4924.09190709464,131777.106317043,125.456517307122,2265.90927562484,21029.9941295927,301.585258946553,2681.65338090385,-164435.806207707,403.27902208887,-9706.04138355123,588.9267611908,148.737211292489,897.896641204757,-62212.7272065278
66.2997171906382,388.665511209991,-7708.90202498785,49.4651890585306,330.175346053784,6095.20207950916,21.4826027573762,-115.263230930771,-5694.04230668227,75.92277333065,112.389453050439,5902.58843175672,68.261397784784,-271.432055935134,-1750.16718478784,-99.1803971107866,110.802113844816,9388.77055627627,30.8361471765855,-548.572247237356,-7593.87771710508,7.51146958334199,-979.61054770274,38261.6696765028,6.74909403745225,-319.334856648564,9512.01419577444,1.76826013377511,-18.1142412164357,-4538.97323536278,-7.03538428558977,-543.645464596711,7550.35479038483,78.2676975976451,-31.5214652337039,9677.25660984722,36.7839268447533,-263.599427910283,13607.1517001924,8.61125865271266,385.965031867758,799.61324863169,9.57053499221013,-8.1231416104441,-5296.16018635898,-3.16253628836376,-48.0678633377226,-8941.78361458717,116.811478537527,1293.93916489451,-12542.0051821479,7.33120080003518,194.076402800002,162331.989269847,30.5887850176984,-2152.15115351573,217487.627966718,125.274674528543,-4670.90810383026,168559.038673806,129.084583918856,2270.61482046425,-8089.8448502902,305.652665914345,2368.06797347296,-212665.860030346,387.873470835497,-9552.47706382521,125353.007540431,150.039217498826,821.383647567696,-26940.3766037187
66.9110147952057,372.858905589057,-9576.87729128323,49.9988276000563,338.364353471531,6198.58420923587,21.291994606832,-124.059472691473,-6081.10858392109,76.1108213518571,119.787164305175,4067.9798797271,67.8247751613157,-271.188871312886,324.316764587542,-98.9903246268736,123.449946680629,7167.05741150538,29.9530962911956,-558.775847961985,-8441.96381981049,5.99470021414588,-910.911981109788,41999.5270712389,6.25168806639378,-302.475524049381,9653.48019397564,1.73328737630788,-24.9185450817654,-4091.25978894308,-7.89206939354209,-529.298747144869,7324.15818224901,78.228561435536,-15.0743578227467,10755.6888737165,36.3785789990121,-238.588127879837,16081.5805847471,9.22739029443477,385.433126161276,676.909234817628,9.55088790599295,-16.6227941296388,-5213.13998590228,-3.25061197564358,-62.4004931428706,-9192.26345182886,118.857398577976,1268.48318290602,-11857.7334443072,7.93934386779772,429.041331570264,107112.919507602,27.4376920539464,-1793.83821036626,212988.994733386,118.027528579018,-4364.68597265483,189068.288270009,132.712314572632,2228.8532850958,-29138.6217269229,309.18152818219,1985.36085843629,-242298.330237296,372.77796902205,-9227.03772350825,186102.564988882,151.276177177155,805.864924752869,13194.9581159228
67.5005475388628,356.010325949558,-10434.464365464,50.5512109533704,348.438668385674,7121.63493014214,21.0846567241033,-134.136309993457,-6773.99396271824,76.3102916933042,124.904794168045,2545.91889660003,67.3867566696242,-268.996390775815,1712.832451406,-98.7809516479047,133.217795630799,5304.09885441717,29.0433599284912,-573.073800879378,-10514.7573114969,4.57777812024588,-840.582567852739,43760.7163728807,5.77635627809692,-286.865507396027,9126.49549778274,1.68753647502165,-31.1350453459441,-3698.95867677903,-8.7348113224403,-517.800894303672,6025.47522545704,78.216957431042,3.08156613055538,11810.6665492479,36.0125964722737,-210.79376215197,17960.6643127531,9.84892203655814,386.50636595174,1300.43199579582,9.5173753026769,-24.9943803580108,-5034.79225615494,-3.36334282476289,-77.3315584499256,-9437.92807660562,120.884389914637,1250.15939028594,-8525.60169151932,8.88353056901394,560.185738204584,43013.4035716307,24.8313335503572,-1455.11673001316,199876.409368705,111.224120210849,-4047.08664315447,201370.782659256,136.282383077948,2165.19668519252,-44007.3737000957,312.084297248341,1571.38388472134,-258964.247031367,358.151575150979,-8875.94191249777,197258.008697251,152.55340796222,860.051622209208,55206.849103981
68.0635003019187,339.547955039072,-11122.9634812546,51.1225639677731,361.673154188211,8137.52858323732,20.8593821826723,-146.084190932844,-7576.80711778192,76.5165696683127,128.201958555836,1119.89126102805,66.9526748106107,-265.918205467248,3011.72237590988,-98.5579285088811,140.617826392756,3533.5766370705,28.1050723372381,-593.403276892187,-12624.5480822335,3.27166130503191,-771.194541853009,45728.2783985686,5.32359420862268,-273.532902409284,8574.00643324531,1.63208994879167,-36.8953734182493,-3350.6542201609,-9.56326369796938,-510.621708803649,4909.71822385538,78.2358860553003,23.0002498597309,12918.6317775549,35.6925957929818,-180.999150444309,19766.9279745008,10.4748523372367,390.220631599477,1777.68562059091,9.47055416825848,-33.0660982453279,-4753.18246691291,-3.50139045464864,-93.1048971321453,-9676.11234403945,122.892597567359,1242.80410772305,-5408.72297903294,9.89545172795359,564.30916118882,-15040.448713649,22.7492814821817,-1148.02818744425,183288.02775858,104.927327717094,-3725.18120545938,217211.268683812,139.742651460829,2089.33790174812,-57040.8882641747,314.303061668572,1145.22379513239,-267116.667532933,344.070448008481,-8575.59164668434,185064.773849147,153.977143253297,985.955564160253,96025.6508848919
