"ltp","ltv","lta","rtp","rtv","rta","lsp","lsv","lsa","rsp","rsv","rsa","lfp","lfv","lfa","rfp","rfv","rfa"
-0.36222242496834,0.409070878641662,26.6404726737748,0.517335682593713,-0.459115389669357,-5.97524618171507,-0.475731613503142,-3.15965195883496,-6.76647424947053,0.367697569914238,-0.328141656233534,-39.4943565738296,-0.296962989520982,-5.09523049932892,-22.3022461556268,0.399119309413404,-0.960259683359663,-43.1468195101132
-0.363070882759915,0.6851067206505,26.7514303486965,0.514699239320825,-0.520971160020445,-6.1917119701798,-0.507222115232069,-3.21941881896719,-4.06867383050462,0.343312070197509,-0.722245525650942,-36.3200589978006,-0.341136038218799,-5.3089712741661,-17.4282381840413,0.3555390304317,-1.38211171890361,-38.1653698920457
-0.360247410810122,0.961315952456108,26.6029784691194,0.510087925505303,-0.585508968330912,-6.48007067888742,-0.540334778726377,-3.25018997540231,-1.11025907039048,0.318341620339979,-1.08108569475836,-32.770037820885,-0.392646707044186,-5.46962980265758,-11.9417768900323,0.307487903759111,-1.749972840991,-32.8337989390599
-0.353282827880307,1.23494372029949,26.1856058091499,0.504009850999136,-0.653392167839989,-6.82468963931854,-0.574913450938332,-3.24936002901014,2.07935806690552,0.293156733680145,-1.40118871643843,-28.9287868120894,-0.452054549622659,-5.57101493845409,-5.90901876977748,0.257777999554635,-2.06084181662746,-27.2715569905781
-0.341741278388522,1.50315223784901,25.4946385189221,0.497219971019425,-0.7251142692755,-7.20922052150136,-0.610702868513562,-3.21464615716793,5.46556495191403,0.267537911174275,-1.67998627283543,-24.8830282383475,-0.519532976899673,-5.60769173620495,0.587230647037289,0.209213759305173,-2.31297957950807,-21.5980526015162
-0.325317601023869,1.76307386818172,24.5306235596896,0.490391560235665,-0.800994494945323,-7.61706478124147,-0.647319806893303,-3.14414214413297,9.00881536894238,0.2412255469018,-1.91582559247461,-20.7194844812867,-0.59469641344456,-5.57515515181918,7.44861018358318,0.164205921005925,-2.50588982240126,-15.9293671222649
-0.303943621988389,2.01186769588975,23.2995487720776,0.483763984846733,-0.881178136598095,-8.03180858866302,-0.684222122967915,-3.03636923667332,12.665032974142,0.214243097449683,-2.10795688882527,-16.5228087568068,-0.676459729323789,-5.46998964615657,14.5629405322187,0.124435987868548,-2.64026559589825,-10.3752335175429
-0.277857983343864,2.24677769315082,21.8128828993683,0.477024299921783,-0.965641346383738,-8.43762520730757,-0.720692473392102,-2.8903223097766,16.3861466065155,0.186937067226579,-2.25649990984316,-12.3737205413074,-0.762974184185394,-5.29000770322542,21.8065788351174,0.0908073019739946,-2.717905627382,-5.03640984079913
-0.247611911926169,2.46519050580451,20.0874288848144,0.469489575244477,-1.05419997874614,-8.81963987916952,-0.755854472123588,-2.7055099704333,20.120746470222,0.159870440227218,-2.36239202496028,-8.34737959073248,-0.851667127189083,-5.03436083541683,29.0473278743698,0.0635377065616214,-2.74160523672353,-0.0025475455911562
-0.214004423070164,2.66469087021681,18.1449953964043,0.460405039017434,-1.1465220221249,-9.16424842989279,-0.788733096595158,-2.48198738163699,23.8148437642996,0.133679605627324,-2.42732060877057,-4.512022916094,-0.939378935428404,-4.70361754593077,36.1477994540692,0.0422910817775069,-2.71502764201441,4.64938219534667
